Date time,Wind (m/s),Tout (°C)
14. 03. 2018 20:20,-0.06,4.8
14. 03. 2018 20:30,0.1,4.6
14. 03. 2018 20:40,0.12,4.6
14. 03. 2018 20:50,0.1,4.5
14. 03. 2018 21:00,-0.03,4.3
14. 03. 2018 21:10,0.02,4.4
14. 03. 2018 21:20,0.1,4.4
14. 03. 2018 21:30,0.07,4.5
14. 03. 2018 21:40,0.11,4.6
14. 03. 2018 21:50,0.18,4.6
14. 03. 2018 22:00,0.11,4.5
14. 03. 2018 22:10,0.15,4.4
14. 03. 2018 22:20,0.18,4.3
14. 03. 2018 22:30,0.17,4.2
14. 03. 2018 22:40,0.18,4.1
14. 03. 2018 22:50,0.13,3.9
14. 03. 2018 23:00,0.16,3.8
14. 03. 2018 23:10,0.17,3.7
14. 03. 2018 23:20,0.15,3.7
14. 03. 2018 23:30,0.16,3.5
14. 03. 2018 23:40,0.14,3.4
14. 03. 2018 23:50,0.14,3.3
15. 03. 2018 00:00,0.18,3.1
15. 03. 2018 00:10,0.17,3
15. 03. 2018 00:20,0.15,2.8
15. 03. 2018 00:30,0.13,2.8
15. 03. 2018 00:40,0.19,2.6
15. 03. 2018 00:50,0.19,2.7
15. 03. 2018 01:00,0.21,2.4
15. 03. 2018 01:10,0.2,2.5
15. 03. 2018 01:20,0.17,2.5
15. 03. 2018 01:30,0.2,2.5
15. 03. 2018 01:40,0.22,2.4
15. 03. 2018 01:50,0.21,2.3
15. 03. 2018 02:00,0.2,2.3
15. 03. 2018 02:10,0.2,2.3
15. 03. 2018 02:20,0.21,2.3
15. 03. 2018 02:30,0.2,2.3
15. 03. 2018 02:40,0.18,2.3
15. 03. 2018 02:50,0.17,2.2
15. 03. 2018 03:00,0.23,2.2
15. 03. 2018 03:10,0.2,2.3
15. 03. 2018 03:20,0.2,2.4
15. 03. 2018 03:30,0.23,2.4
15. 03. 2018 03:40,0.2,2.4
15. 03. 2018 03:50,0.22,2
15. 03. 2018 04:00,0.23,2.1
15. 03. 2018 04:10,0.21,2.1
15. 03. 2018 04:20,0.24,2.1
15. 03. 2018 04:30,0.2,2.3
15. 03. 2018 04:40,0.16,2.4
15. 03. 2018 04:50,0.14,2.4
15. 03. 2018 05:00,0.14,2.5
15. 03. 2018 05:10,0.12,2.6
15. 03. 2018 05:20,0.15,2.6
15. 03. 2018 05:30,0.17,2.6
15. 03. 2018 05:40,0.16,2.8
15. 03. 2018 05:50,0.21,2.9
15. 03. 2018 06:00,0.16,3
15. 03. 2018 06:10,0.19,3.3
15. 03. 2018 06:20,0.22,3
15. 03. 2018 06:30,0.24,3
15. 03. 2018 06:40,0.21,3.2
15. 03. 2018 06:50,0.18,3.7
15. 03. 2018 07:00,0.22,3.5
15. 03. 2018 07:10,0.23,3.5
15. 03. 2018 07:20,0.2,3.8
15. 03. 2018 07:30,0.21,4.2
15. 03. 2018 07:40,0.18,4.8
15. 03. 2018 07:50,0.17,5
15. 03. 2018 08:00,0.18,5.2
15. 03. 2018 08:10,0.18,5.4
15. 03. 2018 08:20,0.25,5.9
15. 03. 2018 08:40,0.27,6.3
15. 03. 2018 16:50,0.21,7.1
15. 03. 2018 17:00,0.18,7.1
15. 03. 2018 17:10,0.18,6.9
15. 03. 2018 17:20,0.19,6.9
15. 03. 2018 17:30,0.21,6.7
15. 03. 2018 17:40,0.18,6.5
15. 03. 2018 17:50,0.13,6.3
15. 03. 2018 18:00,0.18,6.2
15. 03. 2018 18:10,0.15,6.1
15. 03. 2018 18:20,0.16,6.1
15. 03. 2018 18:30,0.14,6.1
15. 03. 2018 18:40,0.16,6
15. 03. 2018 18:50,0.14,6.1
15. 03. 2018 19:00,0.1,6
15. 03. 2018 19:10,0.15,5.9
15. 03. 2018 19:20,0.16,6
15. 03. 2018 19:30,0.14,5.9
15. 03. 2018 19:40,0.09,5.8
15. 03. 2018 19:50,0.08,5.7
15. 03. 2018 20:00,0.12,5.6
15. 03. 2018 20:10,0.11,5.5
15. 03. 2018 20:20,0.16,5.5
15. 03. 2018 20:30,0.14,5.5
15. 03. 2018 20:40,0.18,5.5
15. 03. 2018 20:50,0.09,5.5
15. 03. 2018 21:00,0.11,5.6
15. 03. 2018 21:10,0.13,6
15. 03. 2018 21:20,0.12,6.3
15. 03. 2018 21:30,0.12,6.4
15. 03. 2018 21:40,0.13,6.3
15. 03. 2018 21:50,0.12,6.1
15. 03. 2018 22:00,0.14,5.9
15. 03. 2018 22:10,0.12,5.9
15. 03. 2018 22:20,0.1,6.2
15. 03. 2018 22:30,0.1,6.4
15. 03. 2018 22:40,0.09,6.2
15. 03. 2018 22:50,-0.04,5.9
15. 03. 2018 23:00,0.02,5.8
15. 03. 2018 23:10,0.01,6
16. 03. 2018 01:20,-0.25,7.6
16. 03. 2018 01:30,-0.32,7
16. 03. 2018 01:50,-0.26,5.9
16. 03. 2018 02:00,-0.24,6.1
16. 03. 2018 02:10,-0.27,6
16. 03. 2018 02:20,-0.29,5.9
16. 03. 2018 02:30,-0.26,5.9
16. 03. 2018 07:00,-0.27,4.3
16. 03. 2018 07:10,-0.23,4.4
16. 03. 2018 07:20,-0.18,4.5
16. 03. 2018 07:30,-0.18,4.7
16. 03. 2018 07:40,-0.22,4.8
16. 03. 2018 07:50,-0.19,4.7
16. 03. 2018 08:00,-0.23,4.7
16. 03. 2018 08:10,-0.18,4.8
16. 03. 2018 08:20,-0.21,4.8
16. 03. 2018 08:30,-0.19,4.9
16. 03. 2018 08:40,-0.1,4.9
16. 03. 2018 08:50,-0.19,5
16. 03. 2018 09:00,-0.17,5.3
16. 03. 2018 09:10,-0.14,5.5
16. 03. 2018 09:20,-0.15,5.7
16. 03. 2018 09:30,-0.18,6.1
16. 03. 2018 09:40,-0.19,6.3
16. 03. 2018 09:50,-0.16,6.4
16. 03. 2018 10:00,-0.16,6.6
16. 03. 2018 10:10,-0.06,6.7
16. 03. 2018 10:20,-0.15,7
16. 03. 2018 10:30,-0.19,7.4
16. 03. 2018 10:40,-0.13,7.7
16. 03. 2018 10:50,-0.06,7.9
16. 03. 2018 12:00,0.28,8.5
16. 03. 2018 15:30,-0.1,8.3
16. 03. 2018 15:40,-0.03,8.3
16. 03. 2018 15:50,-0.09,8.3
16. 03. 2018 16:00,0.05,8
16. 03. 2018 16:10,-0.08,7.9
16. 03. 2018 16:20,-0.1,8.1
16. 03. 2018 16:30,0.17,8.1
16. 03. 2018 16:40,0.17,8.2
16. 03. 2018 16:50,0.15,8.2
16. 03. 2018 17:00,0.11,8.3
16. 03. 2018 17:10,-0.07,8.4
16. 03. 2018 17:20,-0.01,8.2
16. 03. 2018 17:30,0.06,7.9
16. 03. 2018 17:40,-0.05,7.9
16. 03. 2018 17:50,-0.05,7.7
16. 03. 2018 18:00,0.05,7.4
16. 03. 2018 18:10,-0.02,7.2
16. 03. 2018 18:20,0.01,6.9
16. 03. 2018 18:30,0.09,6.9
16. 03. 2018 18:40,0.08,6.7
16. 03. 2018 18:50,0.08,6.7
16. 03. 2018 19:00,0.03,6.6
16. 03. 2018 19:10,-0.02,6.1
16. 03. 2018 19:20,-0.12,5.7
16. 03. 2018 19:30,-0.1,5.5
16. 03. 2018 19:40,-0.07,5.4
16. 03. 2018 19:50,0.01,5.5
16. 03. 2018 20:00,0.08,5.4
16. 03. 2018 20:10,0.08,5.2
16. 03. 2018 20:20,0.03,5
16. 03. 2018 20:30,-0.04,4.7
16. 03. 2018 20:40,-0.05,4.4
16. 03. 2018 20:50,0.01,4.1
16. 03. 2018 21:00,-0.05,4.4
16. 03. 2018 21:10,-0.03,4.3
16. 03. 2018 21:20,0.05,4
16. 03. 2018 21:30,0.08,3.7
16. 03. 2018 21:40,0.06,3.6
16. 03. 2018 21:50,0.07,3.5
16. 03. 2018 22:00,0.09,3.2
16. 03. 2018 22:10,0.09,3
16. 03. 2018 22:20,0.08,3
16. 03. 2018 22:30,0.09,2.8
16. 03. 2018 22:40,0,2.6
16. 03. 2018 22:50,0.04,2.6
16. 03. 2018 23:00,0.06,2.7
16. 03. 2018 23:10,0.07,2.4
16. 03. 2018 23:20,0.1,2.3
16. 03. 2018 23:30,0.11,2.3
16. 03. 2018 23:40,0.09,2.3
16. 03. 2018 23:50,0.07,2.3
17. 03. 2018 00:00,0.06,2.3
17. 03. 2018 00:10,0.09,2.3
17. 03. 2018 00:20,0.04,2.3
17. 03. 2018 00:30,0.09,2.1
17. 03. 2018 00:40,0.06,2.1
17. 03. 2018 00:50,0.09,2.2
17. 03. 2018 01:00,0.09,2.3
17. 03. 2018 01:10,0.07,2.2
17. 03. 2018 01:20,0.07,2.2
17. 03. 2018 01:30,0.07,2.2
17. 03. 2018 01:40,0.06,2.1
17. 03. 2018 01:50,0.08,2.2
17. 03. 2018 02:00,0.09,2.3
17. 03. 2018 02:10,0.08,2.5
17. 03. 2018 02:20,0.06,2.5
17. 03. 2018 02:30,0.07,2.4
17. 03. 2018 02:40,0.08,2.4
17. 03. 2018 02:50,0.08,2.4
17. 03. 2018 03:00,0,2.5
17. 03. 2018 03:10,-0.08,2.6
17. 03. 2018 03:20,-0.07,2.6
17. 03. 2018 03:30,-0.07,2.7
17. 03. 2018 03:40,-0.11,2.7
17. 03. 2018 03:50,-0.16,2.7
17. 03. 2018 04:00,-0.23,2.7
17. 03. 2018 04:10,-0.27,2.8
17. 03. 2018 04:20,-0.26,3
17. 03. 2018 04:30,-0.25,3.3
17. 03. 2018 04:40,-0.28,3.8
17. 03. 2018 04:50,-0.25,3.7
17. 03. 2018 05:00,-0.2,3.5
17. 03. 2018 05:10,-0.18,3.4
17. 03. 2018 05:20,-0.2,3.4
17. 03. 2018 05:30,-0.21,3.6
17. 03. 2018 05:40,-0.21,3.9
17. 03. 2018 05:50,-0.24,4
17. 03. 2018 06:00,-0.24,4
17. 03. 2018 06:10,-0.12,4
17. 03. 2018 06:20,-0.06,3.9
17. 03. 2018 08:20,-0.02,4
17. 03. 2018 08:30,0.02,4.1
17. 03. 2018 08:40,0.02,4.2
17. 03. 2018 08:50,0.04,4.1
17. 03. 2018 09:00,0.08,4.1
17. 03. 2018 09:40,-0.08,4.2
17. 03. 2018 12:40,-0.05,3.6
17. 03. 2018 13:00,0.09,3.4
17. 03. 2018 13:10,0.12,3.4
17. 03. 2018 13:20,0.17,3.3
17. 03. 2018 13:40,0.19,3.3
17. 03. 2018 14:20,0.19,3.4
17. 03. 2018 17:10,0.19,3.5
17. 03. 2018 17:20,0.19,3.5
17. 03. 2018 17:30,0.18,3.5
17. 03. 2018 17:40,0.22,3.5
17. 03. 2018 17:50,0.19,3.5
17. 03. 2018 18:10,0.22,3.3
17. 03. 2018 18:30,0.23,3.3
17. 03. 2018 18:40,0.25,3.2
17. 03. 2018 18:50,0.27,3.2
17. 03. 2018 19:30,0.22,3.1
17. 03. 2018 19:50,0.2,3
17. 03. 2018 20:00,0.14,3
17. 03. 2018 20:10,0.12,3
17. 03. 2018 20:20,0.16,3
17. 03. 2018 20:30,0.14,3
17. 03. 2018 20:40,0.08,2.9
17. 03. 2018 21:10,-0.06,2.7
17. 03. 2018 21:40,0.08,2.4
17. 03. 2018 21:50,0.11,2.3
17. 03. 2018 23:10,0.01,2.3
17. 03. 2018 23:20,-0.07,2.2
17. 03. 2018 23:30,-0.09,2.2
18. 03. 2018 03:30,-0.04,1.1
19. 03. 2018 01:40,0.14,-2.7
20. 03. 2018 02:30,0.16,-3.4
20. 03. 2018 15:40,0.13,-0.8
20. 03. 2018 18:10,0.22,-1.5
20. 03. 2018 20:50,0.29,-2
23. 03. 2018 19:30,0.22,1.6
23. 03. 2018 19:50,0.2,1.5
23. 03. 2018 20:00,0.19,1.3
23. 03. 2018 20:10,0.22,1.2
23. 03. 2018 20:20,0.24,1.1
23. 03. 2018 20:30,0.25,1
23. 03. 2018 20:40,0.24,0.9
23. 03. 2018 20:50,0.26,0.9
23. 03. 2018 21:00,0.27,1
23. 03. 2018 21:10,0.29,1
23. 03. 2018 21:20,0.28,0.8
23. 03. 2018 21:30,0.29,0.8
23. 03. 2018 21:40,0.28,0.6
23. 03. 2018 21:50,0.27,0.6
23. 03. 2018 22:00,0.29,0.4
23. 03. 2018 22:10,0.3,0.2
23. 03. 2018 22:20,0.29,0.3
23. 03. 2018 22:30,0.28,0
23. 03. 2018 22:40,0.28,-0.1
23. 03. 2018 22:50,0.3,-0.3
23. 03. 2018 23:00,0.29,-0.7
23. 03. 2018 23:10,0.27,-1
23. 03. 2018 23:20,0.24,-1.2
23. 03. 2018 23:30,0.29,-1
23. 03. 2018 23:40,0.31,-0.9
23. 03. 2018 23:50,0.3,-0.8
24. 03. 2018 00:00,0.29,-0.4
24. 03. 2018 00:10,0.3,0
24. 03. 2018 00:20,0.25,0.1
24. 03. 2018 00:30,0.23,0.1
24. 03. 2018 00:40,0.21,0.3
24. 03. 2018 00:50,0.22,0.5
24. 03. 2018 01:10,0.23,0.6
24. 03. 2018 01:20,0.24,0.6
24. 03. 2018 01:30,0.22,0.7
24. 03. 2018 01:50,0.23,0.7
24. 03. 2018 02:20,0.22,0.8
24. 03. 2018 02:30,0.19,0.7
24. 03. 2018 03:00,0.25,0.6
24. 03. 2018 05:00,0.32,-0.1
24. 03. 2018 05:10,0.32,-0.5
24. 03. 2018 05:20,0.35,-1.4
24. 03. 2018 05:30,0.35,-1.4
24. 03. 2018 05:40,0.3,-1.5
24. 03. 2018 05:50,0.28,-1.7
24. 03. 2018 06:00,0.3,-1.7
24. 03. 2018 06:10,0.3,-1.7
24. 03. 2018 06:20,0.31,-1.8
24. 03. 2018 06:30,0.31,-1.8
24. 03. 2018 06:40,0.32,-1.6
24. 03. 2018 06:50,0.31,-1.6
24. 03. 2018 07:00,0.33,-1.6
24. 03. 2018 07:10,0.33,-1.4
24. 03. 2018 07:20,0.28,-1.3
24. 03. 2018 07:30,0.29,-1.3
24. 03. 2018 07:40,0.3,-0.6
24. 03. 2018 07:50,0.29,0
24. 03. 2018 08:00,0.3,0.3
24. 03. 2018 08:10,0.3,0.6
24. 03. 2018 08:20,0.28,0.9
24. 03. 2018 08:30,0.29,1
24. 03. 2018 08:40,0.25,1.1
24. 03. 2018 08:50,0.29,1.3
24. 03. 2018 09:00,0.31,2
24. 03. 2018 09:10,0.28,2.4
24. 03. 2018 09:20,0.23,2.8
24. 03. 2018 09:30,0.27,3.3
24. 03. 2018 09:50,0.29,4.1
24. 03. 2018 10:00,0.26,4.1
24. 03. 2018 10:10,0.25,4.1
24. 03. 2018 10:20,0.22,4.5
24. 03. 2018 10:30,0.08,5
24. 03. 2018 14:00,0.22,6.6
24. 03. 2018 14:10,0.14,6.7
24. 03. 2018 14:20,0.14,6.6
24. 03. 2018 14:50,0.18,6.6
24. 03. 2018 15:00,0.24,6.4
24. 03. 2018 16:00,0.19,6.2
24. 03. 2018 16:10,0.14,6.1
24. 03. 2018 16:40,0.2,5.9
24. 03. 2018 16:50,0.2,5.9
24. 03. 2018 17:10,0.19,5.8
24. 03. 2018 18:10,0.18,5.2
24. 03. 2018 18:20,0.19,5.1
24. 03. 2018 18:30,0.18,4.9
24. 03. 2018 18:40,0.24,4.8
24. 03. 2018 18:50,0.22,4.7
24. 03. 2018 19:20,0.18,4.4
24. 03. 2018 19:30,0.16,4
24. 03. 2018 19:40,0.17,3.5
24. 03. 2018 19:50,0.13,3.1
24. 03. 2018 20:00,0.13,3
24. 03. 2018 20:10,0.12,2.9
24. 03. 2018 20:20,0.13,2.8
24. 03. 2018 20:30,0.1,2.3
24. 03. 2018 20:40,0.09,2
24. 03. 2018 20:50,0.09,1.8
24. 03. 2018 21:00,0.06,1.6
24. 03. 2018 21:10,0.08,1.3
24. 03. 2018 21:20,0.06,1
24. 03. 2018 21:30,0.08,1.2
24. 03. 2018 21:40,0.07,1.3
24. 03. 2018 21:50,0.11,1.2
24. 03. 2018 22:00,0.19,0.9
24. 03. 2018 22:10,0.22,0.8
24. 03. 2018 22:20,0.17,0.9
24. 03. 2018 22:30,0.14,0.7
24. 03. 2018 22:40,0.16,0.7
24. 03. 2018 22:50,0.15,0.6
24. 03. 2018 23:00,0.15,0.7
24. 03. 2018 23:10,0.17,0.6
24. 03. 2018 23:20,0.17,0.3
24. 03. 2018 23:30,0.15,0.3
24. 03. 2018 23:40,0.18,0.2
24. 03. 2018 23:50,0.1,0.7
25. 03. 2018 00:00,0.12,1
25. 03. 2018 00:10,0.07,0.9
25. 03. 2018 00:20,0.18,0.9
25. 03. 2018 00:30,0.13,1
25. 03. 2018 01:10,0.18,0.7
25. 03. 2018 01:20,0.18,0.2
25. 03. 2018 01:30,0.24,0
25. 03. 2018 01:40,0.21,0.2
25. 03. 2018 01:50,0.15,0.1
25. 03. 2018 02:00,0.24,0
25. 03. 2018 02:10,0.26,0
25. 03. 2018 02:20,0.27,-0.6
25. 03. 2018 02:30,0.24,-1
25. 03. 2018 02:40,0.27,-1.2
25. 03. 2018 02:50,0.3,-0.8
25. 03. 2018 03:00,0.23,-0.6
25. 03. 2018 03:10,0.26,-0.5
25. 03. 2018 03:30,0.29,-0.4
25. 03. 2018 03:40,0.28,-0.4
25. 03. 2018 03:50,0.33,-0.4
25. 03. 2018 04:00,0.31,-0.7
25. 03. 2018 04:10,0.34,-0.6
25. 03. 2018 04:20,0.33,-0.4
25. 03. 2018 04:30,0.31,-0.2
25. 03. 2018 04:40,0.33,-0.2
25. 03. 2018 04:50,0.32,-0.1
25. 03. 2018 05:00,0.32,-0.1
25. 03. 2018 05:10,0.29,-0.1
25. 03. 2018 05:20,0.33,-0.1
25. 03. 2018 05:30,0.35,-0.2
25. 03. 2018 05:40,0.32,-0.3
25. 03. 2018 05:50,0.32,-0.4
25. 03. 2018 06:00,0.29,-0.4
25. 03. 2018 06:10,0.33,-0.5
25. 03. 2018 06:20,0.38,-0.7
25. 03. 2018 06:30,0.33,-0.7
25. 03. 2018 06:40,0.27,-0.7
25. 03. 2018 06:50,0.3,-0.4
25. 03. 2018 07:10,0.23,0.2
25. 03. 2018 18:20,0.1,4.3
25. 03. 2018 18:50,-0.08,3.7
25. 03. 2018 19:20,0.02,3.3
25. 03. 2018 19:30,0.1,3.1
25. 03. 2018 19:40,0.23,2.9
25. 03. 2018 19:50,0.21,2.6
25. 03. 2018 20:00,0.18,2.6
25. 03. 2018 20:10,0.15,2.5
25. 03. 2018 22:10,0.24,1
25. 03. 2018 23:00,0.31,0.8
25. 03. 2018 23:10,0.29,0.8
25. 03. 2018 23:20,0.29,0.3
25. 03. 2018 23:30,0.27,0.5
25. 03. 2018 23:40,0.28,0.4
25. 03. 2018 23:50,0.25,0.3
26. 03. 2018 00:00,0.22,0.2
26. 03. 2018 00:10,0.22,0.2
26. 03. 2018 00:20,0.23,0.2
26. 03. 2018 00:30,0.25,0.2
26. 03. 2018 00:40,0.2,0.2
26. 03. 2018 00:50,0.18,0.2
26. 03. 2018 01:00,0.18,0.2
26. 03. 2018 01:10,0.22,0
26. 03. 2018 01:30,0.26,-0.3
26. 03. 2018 01:40,0.25,-0.3
26. 03. 2018 01:50,0.22,-0.6
26. 03. 2018 02:00,0.22,-0.6
26. 03. 2018 02:50,0.17,-0.6
26. 03. 2018 03:30,0.21,-0.4
26. 03. 2018 03:40,0.17,-0.6
26. 03. 2018 03:50,0.2,-0.8
26. 03. 2018 04:00,0.23,-0.7
26. 03. 2018 04:20,0.11,-0.5
26. 03. 2018 05:40,-0.07,-0.6
26. 03. 2018 05:50,-0.15,-0.6
26. 03. 2018 16:10,-0.15,10.4
26. 03. 2018 16:40,-0.18,10.7
26. 03. 2018 17:00,-0.16,9.9
26. 03. 2018 17:30,-0.15,9.5
26. 03. 2018 17:40,-0.11,9.4
26. 03. 2018 18:10,-0.02,8.8
26. 03. 2018 18:20,-0.09,8.7
26. 03. 2018 18:30,-0.08,8.5
26. 03. 2018 18:40,0.02,8.3
26. 03. 2018 18:50,0.09,8.2
26. 03. 2018 19:00,0.06,8.1
26. 03. 2018 19:10,0.01,7.9
26. 03. 2018 19:50,-0.04,7.1
26. 03. 2018 20:00,-0.11,6.6
26. 03. 2018 20:10,-0.09,6.6
26. 03. 2018 20:20,-0.13,6.4
26. 03. 2018 20:40,-0.23,6.3
26. 03. 2018 21:20,-0.18,5.9
26. 03. 2018 21:30,-0.16,5.7
26. 03. 2018 21:40,-0.16,5.8
26. 03. 2018 21:50,-0.16,5.7
26. 03. 2018 22:00,-0.13,5.5
26. 03. 2018 22:10,-0.05,5.5
26. 03. 2018 22:20,-0.07,5.5
26. 03. 2018 22:30,0.06,5.4
26. 03. 2018 22:40,0.07,5.3
26. 03. 2018 22:50,0.12,5.2
26. 03. 2018 23:00,0.17,5
26. 03. 2018 23:10,0.24,5
26. 03. 2018 23:20,0.22,4.5
26. 03. 2018 23:30,0.12,4.1
26. 03. 2018 23:40,0.09,4
26. 03. 2018 23:50,0.07,3.9
27. 03. 2018 00:00,0.14,3.8
27. 03. 2018 00:10,0.19,3.9
27. 03. 2018 00:20,0.13,3.9
27. 03. 2018 00:30,-0.05,3.8
27. 03. 2018 00:40,-0.1,4
27. 03. 2018 00:50,-0.07,4.2
27. 03. 2018 01:00,-0.11,4.4
27. 03. 2018 01:10,-0.15,4.3
27. 03. 2018 01:20,-0.1,4.4
27. 03. 2018 01:30,-0.11,4.4
27. 03. 2018 01:40,-0.13,4.4
27. 03. 2018 01:50,-0.01,4.4
27. 03. 2018 02:00,-0.1,4.4
27. 03. 2018 02:10,-0.06,4.2
27. 03. 2018 02:20,0.07,4
27. 03. 2018 02:30,0.11,3.9
27. 03. 2018 02:40,0.08,3.7
27. 03. 2018 02:50,0.08,3.6
27. 03. 2018 03:00,0.09,3.4
27. 03. 2018 03:10,0.19,3.4
27. 03. 2018 03:20,0.15,3.4
27. 03. 2018 03:30,0.16,3.3
27. 03. 2018 03:40,0.25,3.2
27. 03. 2018 03:50,0.24,3.2
27. 03. 2018 04:00,0.19,3.4
27. 03. 2018 04:10,0.22,3.4
27. 03. 2018 04:20,0.28,3.1
27. 03. 2018 04:30,0.22,2.9
27. 03. 2018 04:40,0.22,2.8
27. 03. 2018 04:50,0.12,2.8
27. 03. 2018 05:00,0.13,2.5
27. 03. 2018 05:10,0.2,2.3
27. 03. 2018 05:20,0.15,2.4
27. 03. 2018 05:30,0.17,2.4
27. 03. 2018 05:40,0.2,2.5
27. 03. 2018 05:50,0.19,2.5
27. 03. 2018 06:00,0.25,2.5
27. 03. 2018 06:10,0.29,2.5
27. 03. 2018 06:20,0.24,2.2
27. 03. 2018 06:30,0.24,2.1
27. 03. 2018 06:40,0.23,2
27. 03. 2018 06:50,0.25,2
27. 03. 2018 07:00,0.24,2
27. 03. 2018 07:10,0.19,2.1
27. 03. 2018 07:20,0.18,2.3
27. 03. 2018 07:30,0.26,2.4
27. 03. 2018 07:40,0.19,2.7
27. 03. 2018 07:50,0.26,3
27. 03. 2018 08:00,0.28,3.2
27. 03. 2018 08:10,0.24,3.3
27. 03. 2018 08:20,0.24,3.8
27. 03. 2018 08:30,0.24,4.1
27. 03. 2018 08:40,0.22,4.3
27. 03. 2018 08:50,0.14,4.9
27. 03. 2018 09:00,0.09,6.2
27. 03. 2018 09:10,0.15,7
27. 03. 2018 09:20,-0.02,7
27. 03. 2018 09:30,-0.12,7.1
27. 03. 2018 09:40,-0.06,7.1
27. 03. 2018 09:50,-0.09,7
27. 03. 2018 10:00,0.02,7.1
27. 03. 2018 10:10,0.12,6.9
27. 03. 2018 10:20,0.06,7
27. 03. 2018 10:30,-0.03,7.2
27. 03. 2018 10:40,-0.1,7.4
27. 03. 2018 11:20,-0.08,8.5
27. 03. 2018 11:30,-0.11,8.3
27. 03. 2018 11:40,0.09,8.4
27. 03. 2018 11:50,0.14,7.9
27. 03. 2018 12:00,0.16,8.6
27. 03. 2018 12:10,0.23,8.8
27. 03. 2018 12:20,0.15,9.3
27. 03. 2018 12:30,0.09,9.3
27. 03. 2018 12:40,0.16,9.5
27. 03. 2018 12:50,0.26,9.8
27. 03. 2018 13:00,0.23,10.1
27. 03. 2018 13:10,0.29,9.8
27. 03. 2018 13:20,0.26,10
27. 03. 2018 13:30,0.21,10.3
27. 03. 2018 15:20,0.03,4.5
27. 03. 2018 15:30,-0.04,4.1
27. 03. 2018 15:50,0.24,3.7
27. 03. 2018 16:10,0.05,4.2
27. 03. 2018 16:20,0.12,4.3
27. 03. 2018 16:30,0.2,4.1
27. 03. 2018 16:40,0.27,4.2
27. 03. 2018 16:50,0.29,4.4
27. 03. 2018 17:00,0.35,4.6
27. 03. 2018 17:10,0.34,4.9
27. 03. 2018 17:20,0.4,4.6
27. 03. 2018 17:30,0.28,4.6
27. 03. 2018 17:40,0.15,4.7
27. 03. 2018 17:50,0.26,4.7
27. 03. 2018 18:00,0.22,4.7
27. 03. 2018 18:10,0.23,4.6
27. 03. 2018 18:20,0.27,4.5
27. 03. 2018 18:30,0.28,4.3
27. 03. 2018 18:40,0.27,4.1
27. 03. 2018 18:50,0.22,3.8
27. 03. 2018 19:00,0.14,3.6
27. 03. 2018 19:10,0.16,3.4
27. 03. 2018 19:20,0.1,3.1
27. 03. 2018 19:30,0.08,2.9
27. 03. 2018 19:40,0.1,2.7
27. 03. 2018 19:50,0.1,2.3
27. 03. 2018 20:00,0.09,2.2
27. 03. 2018 20:10,0.08,2.2
27. 03. 2018 20:20,0.08,2.1
27. 03. 2018 20:30,0.1,1.8
27. 03. 2018 20:40,0.06,1.5
27. 03. 2018 20:50,0.09,1.4
27. 03. 2018 21:00,0.1,1.2
27. 03. 2018 21:10,0.12,1.1
27. 03. 2018 21:20,0.16,0.9
27. 03. 2018 21:30,0.1,0.6
27. 03. 2018 21:40,0.22,0.4
27. 03. 2018 21:50,0.21,0.4
27. 03. 2018 22:00,0.19,0
27. 03. 2018 22:10,0.36,-0.3
27. 03. 2018 22:20,0.37,-0.2
27. 03. 2018 22:30,0.34,-0.2
27. 03. 2018 22:40,0.27,0
27. 03. 2018 22:50,0.19,0.2
27. 03. 2018 23:00,0.21,0.3
27. 03. 2018 23:10,0.28,-0.1
27. 03. 2018 23:20,0.3,-0.3
27. 03. 2018 23:30,0.29,-0.4
27. 03. 2018 23:40,0.36,-0.3
27. 03. 2018 23:50,0.38,-0.2
28. 03. 2018 00:00,0.35,-0.1
28. 03. 2018 00:10,0.29,0
28. 03. 2018 00:20,0.28,0.1
28. 03. 2018 00:30,0.29,0.2
28. 03. 2018 00:40,0.2,0.3
28. 03. 2018 00:50,0.2,0.2
28. 03. 2018 01:00,0.23,0.2
28. 03. 2018 01:10,0.25,0.2
28. 03. 2018 01:20,0.33,0.2
28. 03. 2018 01:30,0.32,0.2
28. 03. 2018 01:40,0.32,0.2
28. 03. 2018 01:50,0.44,0.2
28. 03. 2018 02:00,0.42,0.3
28. 03. 2018 02:10,0.37,0.5
28. 03. 2018 02:20,0.3,0.5
28. 03. 2018 02:30,0.26,0.6
28. 03. 2018 02:40,0.25,0.5
28. 03. 2018 02:50,0.23,0.4
28. 03. 2018 03:00,0.3,0.3
28. 03. 2018 03:10,0.28,0.3
28. 03. 2018 03:20,0.34,0.3
28. 03. 2018 03:30,0.3,0.5
28. 03. 2018 03:40,0.3,0.6
28. 03. 2018 03:50,0.29,0.7
28. 03. 2018 04:00,0.32,0.6
28. 03. 2018 04:10,0.31,0.4
28. 03. 2018 04:20,0.34,0.4
28. 03. 2018 04:30,0.35,0.3
28. 03. 2018 04:40,0.28,0.3
28. 03. 2018 04:50,0.27,0.2
28. 03. 2018 05:00,0.32,0.1
28. 03. 2018 05:10,0.31,0.2
28. 03. 2018 05:20,0.28,0.2
28. 03. 2018 05:30,0.29,0.1
28. 03. 2018 05:40,0.28,-0.1
28. 03. 2018 05:50,0.29,-0.1
